OWNER;NAME;CONTEXTS
DanielVartanov;ruby-geometry;[["implementation", "basic", "2d", "geometry", "algorithm", "ruby"], ["copyright", "c", "daniel", "vartanov", "release", "mit", "license"]]
dannnylo;rtesseract;[["ruby", "library", "work", "tesseract", "ocr"]]
dart-lang;homebrew-dart;[["official", "dart", "tap", "homebrew"], ["mac", "user", "use", "formula", "easily", "install", "update", "dart", "sdk", "dev", "stable", "channel", "support"]]
dasch;avro;[["avroturf", "library", "make", "easy", "encode", "decode", "data", "use", "apache", "avro", "serialization", "format", "add", "layer", "top", "official", "avro", "gem", "make", "easy", "integrate", "avro", "application"]]
datocms;middleman-dato;[["middleman", "dato", "middleman", "extension", "use", "middleman", "static", "site", "generator", "together", "api-driven", "datocms", "fully", "customizable", "administrative", "backend", "static", "website"], ["gem", "work", "middleman", "v4"]]
davidalger;capistrano-magento2;'[["capistrano", "extension", "magento", "deployment", "take", "care", "specific", "magento", "requirement", "add", "task", "specific", "magento", "application", "support", "zero-down", "deployment", "base", "difference", "deployed", "config.php", "db", "status", "report", "magento''s", "setup", ":d", "b", "status", "cli", "command", "theme", "scope", "dump", "config.php", "via", "bin", "magento", "app", "config", ":d", "ump", "scope", "theme", "i18n", "zero-side-effect", "pipeline", "utilized", "database_NEG", "cache_NEG", "backend_NEG", "configuration_NEG", "available_NEG", "build_NEG", "process_NEG"]]'
davidcelis;api-pagination;[["paginate", "header", "response_NEG", "body_NEG", "follow", "propose", "rfc", "standard", "web", "linking"]]
davissp14;etcdv3-ruby;[["ruby", "client", "etcd", "v3"]]
DavyJonesLocker;client;[["mongoid", "plugin", "clientsidevalidations"]]
dblock;iex-ruby-client;[["ruby", "client", "iex", "cloud", "api"]]
deivid-rodriguez;pry-byebug;[["add", "step-by-step", "debugging", "stack", "navigation", "capability", "pry", "use", "byebug"], ["use", "invoke", "pry", "normally", "need_NEG", "start_NEG", "script_NEG", "app_NEG", "differently_NEG", "execution", "stop", "first", "statement", "binding.pry"]]
dev-sec;windows-baseline;[["baseline", "ensure", "harden", "project", "keep", "quality"]]
devopsgroup-io;vagrant-hostmanager;[["vagrant-hostmanager", "vagrant", "plugin", "manage", "host", "file", "guest", "machine", "optionally", "host", "goal", "enable", "resolution", "multi-machine", "environment", "deploy", "cloud", "provider", "ip", "address", "know_NEG", "advance_NEG"], ["like", "consider", "support", "u", "patreon", "money", "go", "directly", "back", "grow", "collection", "open", "source", "free", "software"]]
dgilperez;validates;'[["add", "zipcode", "postal", "code", "validation", "support", "rail", "activemodel", "consider", "postal", "code", "format", "mostly", "every", "country"], ["validateszipcode", "currently", "support", "country", "code", "regex", "data", "take", "several", "source", "main", "source", "cldr", "database", "release", "around", "country''s", "postal", "code", "validate", "without", "error"], ["validateszipcode", "support", "rail", "ruby", "gem", "could", "work", "rail", "ruby", "well", "yet", "unsupported", "try", "v0", "series", "trouble", "late", "version", "truffleruby", "also", "test", "report_NEG", "work_NEG", "production_NEG", "apps_NEG"]]'
dgutov;robe;[["robe", "code", "assistance", "tool", "use", "ruby", "repl", "subprocess", "application", "gem", "code", "load", "provide", "information", "loaded", "class", "module", "method", "define"], ["generally", "want", "start", "m-x", "inf-ruby-console-auto", "ruby_NEG", "console_NEG", "run_NEG", "interactive_NEG", "command_NEG", "provide_NEG", "robe_NEG", "offer_NEG", "launch_NEG", "automatically_NEG"], ["exception", "code", "completion", "eldoc", "work", "server", "already", "run", "launch", "type", "m-x", "robe-start"], ["change", "code", "project", "want", "update", "running", "process", "load", "current", "file", "type", "c-c", "c-l", "ruby-load-file", "see", "inf-ruby", "command", "work", "rail", "project", "type", "c-c", "c-k", "instead", "reload", "whole", "environment"]]
diasks2;pragmatic;[["pragmatic", "segmenter", "rule-based", "sentence", "boundary", "detection", "gem", "work", "out-of-the-box", "across", "many", "language"]]
digidentity;libsaml;'[["libsaml", "ruby", "gem", "easily", "create", "saml", "message", "gem", "write", "saml", "gem", "miss", "functionality", "xml", "signing"], ["libsaml''s", "feature", "include"], ["copyright", "digidentity", "b", "v", "release", "mit", "license", "gem", "write", "benoist", "claassen"]]'
digininja;pipal;[["copyright", "c", "robin", "wood", "robin@digi.ninja"], ["internal", "pen-tests", "generally", "manage", "get", "password", "dump", "dc", "basic", "analysis", "write", "counter", "since", "originally", "release", "make", "quite", "mod", "generate", "extra", "stats", "useful", "report", "management"], ["recently", "good", "friend", "n00bz", "ask", "twitter", "anyone", "tool", "could", "use", "analyse", "password", "point", "counter", "say", "suggestion", "addition", "let", "know", "last", "month", "u", "come", "load", "new", "feature", "think", "help", "anyone", "large", "dump", "cracked", "password", "analyse", "also", "get", "input", "well", "know", "password", "analyst", "matt", "weir", "martin", "bos", "would", "like", "give", "big", "thanks"], ["point", "go", "tool", "give", "stats", "information", "help", "analyse", "password", "real", "work", "interpret", "result", "give", "number", "tell", "story"], ["see", "many", "change", "underlying", "code", "also", "decide", "change", "name", "see", "full", "new", "release"], ["new", "version", "best", "way", "describe", "see", "example", "go", "pipal", "project", "page", "full", "walk", "sample", "analysis"]]
discourse;rails;[["gem", "provide", "multi-db", "support", "rail", "application"], ["use", "middleware", "partition", "app", "hostname", "db"], ["provide", "series", "helper", "work", "multiple", "database", "additional", "rail", "task", "work"]]
dmendel;bindata;'[["ever", "find", "write", "code", "like"], ["ugly", "violate", "dry", "feel", "like", "write", "perl", "ruby_NEG"], ["good", "way", "would", "write", "use", "bindata"], ["bindata", "provide", "declarative", "way", "read", "write", "structured", "binary", "data"], ["mean", "programmer", "specify", "format", "binary", "data", "bindata", "work", "read", "write", "data", "format", "easy", "readable", "alternative", "ruby''s", "#pack", "#unpack", "method"], ["bindata", "make", "easy", "create", "new", "data", "type", "support", "common", "primitive", "datatypes", "find", "structured", "binary", "data", "format", "support", "dependent", "variable", "length", "field", "build"], ["query", "bug", "report", "suggestion", "please", "contact", "dion", "mendel", "via", "email", "bindata@dm9.info"]]'
DmitryTsepelev;ar;[["arlazypreload", "gem", "bring", "association", "lazy", "load", "functionality", "rail", "application", "number", "built-in", "method", "solve", "n", "problem", "sometimes", "list", "association", "preload", "obviousthis_NEG", "get_NEG", "gem_NEG"]]
DmitryTsepelev;store;[["storemodel", "gem", "allow", "wrap", "json-backed", "db", "column", "activemodel-like", "class"]]
dnsimple;dnsimple-ruby;[["ruby", "client", "dnsimple", "api", "v2"], ["dnsimple", "provide", "dns", "hosting", "domain", "registration", "simple", "friendly", "provide", "full", "api", "easy-to-use", "web", "interface", "get", "domain", "register", "set", "minimal", "amount", "effort"]]
DockYard;capybara-email;[["easily", "test", "actionmailer", "mail", "message", "capybara", "integration", "test"]]
doctolib;safe-pg-migrations;[["activerecord", "migration", "postgres", "make", "safe"]]
DomT4;homebrew-autoupdate;[["easy", "convenient", "way", "automatically", "update", "homebrew"], ["script", "run", "brew", "update", "background", "every", "hour", "default", "explicitly", "tell", "stop", "utilise", "launchd"], ["brew", "upgrade", "brew", "cleanup", "also", "handle", "automatically", "optional", "flag"], ["notification", "enable", "default", "macos", "big", "sur", "use", "new", "codesigned", "universal", "applescript", "applet", "old", "version", "macos", "terminal-notifier", "instal", "also", "request", "desktop", "notification", "command", "run"]]
donv;capybara-screenshot-diff;[["ever", "wonder", "project", "look", "like", "two", "year", "ago", "answer", "start", "take", "screen", "shot", "test", "capybara", "provide", "save_screenshot", "method", "good"], ["ever", "introduce", "graphical", "change", "unintended", "never", "want_NEG", "happen_NEG", "gem", "use", "gem", "detect", "change", "page", "take", "screen", "shot", "compare", "previous", "revision"]]
dragostis;mrusty;[["mrusty", "let", "u"], ["safely", "neat", "way", "also", "bring", "spec", "testing", "repl", "table"]]
Druwerd;hudson-remote-api;'[["hudson-remote-api", "ruby", "library", "talk", "hudson''s", "xml", "remote", "access", "api"]]'
dub357;sharepoint-ruby;'[["ruby", "gem", "map", "sharepoint''s", "rest", "api", "simple", "accessible", "fashion"], ["first", "initialize", "sharepoint", "site", "open", "session", "order", "start", "make", "request", "rest", "api"], ["note", "site.session.authenticate", "might", "throw", "exception", "authentication", "go_NEG", "well_NEG", "wrong_NEG", "url_NEG", "sts_NEG", "unavailable_NEG", "wrong_NEG", "login_NEG", "password_NEG", "exception", "might", "type", "connectiontostsfailed", "authenticationfailed", "connexiontosharepointfailed", "unknownauthenticationerror"], ["default", "sharepoint-ruby", "us", "microsoft''s", "sts", "work", "sharepoint", "online", "may", "use", "sts", "use", "optional", "third", "parameter", "sharepoint", "site.new"], ["may", "also", "connect", "use", "ntlm", "method", "purpose", "overwrite", "default", "session", "handler", "sharepoint", "httpauth", "session"], ["may", "also", "connect", "use", "kerberos", "use", "mit", "kerberos", "purpose", "overwrite", "default", "session", "handler", "sharepoint", "kerberosauth", "session"], ["log", "may", "access", "site''s", "ressource", "site", "object"], ["sharepoint", "answer", "odata", "object", "site.query", "method", "automatically", "map", "corresponding", "sharepoint", "object", "class", "instance", "sharepoint", "answer", "odata", "object", "type", "sp.list", "site.query", "return", "instance", "sharepoint", "list", "class", "class", "implement", "getter", "setter", "property", "declare", "corresponding", "object", "sharepoint''s", "documentation"], ["n", "b", "note", "setter", "exist", "property", "declare", "write-accessible", "documentation", "n", "b", "note", "despite", "camel", "case", "use", "sharepoint", "getter", "setter", "snake", "cased", "e", "custommasterurl", "property", "become", "accessible", "custom_master_url", "getter", "custom_mater_url", "getter"], ["sharepoint", "object", "contain", "method", "help", "handle", "object"], ["guid", "method", "use", "retrieve", "guid", "object"], ["reload", "method", "return", "instance", "object", "remote", "sharepoint", "site", "may", "useful", "want", "sure", "object", "contain", "late", "change"], ["save", "method", "automatically", "compile", "change", "perform", "merge", "request", "sharepoint", "site"], ["destroy", "method", "destroy", "remote", "ressource", "sharepoint", "site"], ["copy", "method", "duplicate", "exist", "object", "send", "sharepoint", "object", "parameter", "duplicate", "parameter", "send_NEG", "parameter_NEG", "create_NEG", "new_NEG", "object_NEG", "note", "change_NEG", "happen_NEG", "sharepoint_NEG", "site_NEG", "call_NEG", "save_NEG", "method_NEG", "return_NEG", "object_NEG"], ["property", "odata", "object", "deferred", "mean", "property", "provide", "link", "ressource", "would", "get", "sharepoint-ruby_NEG", "gem_NEG", "however_NEG", "first", "time", "try", "access", "deferred", "property", "object", "go", "look", "corresponding", "remote", "ressource", "result", "store", "late", "us", "return"], ["sharepoint", "rest", "api", "provide", "u", "method", "create", "update", "delete", "resource", "sharepoint", "object", "behaviour", "implement", "save", "delete", "method"], ["piece", "code", "change", "custom", "master", "page", "use", "sharepoint", "site", "oslo.master"], ["may", "also", "create", "object", "slightly", "different", "create", "instance", "sharepoint", "list", "object", "sharepoint", "object", "value", "set", "initialization", "sharepoint-ruby", "allow_NEG", "set_NEG", "value_NEG", "setter_NEG", "case", "list", "sharepoint", "require", "specify", "value", "basetemplate", "property", "would", "specify", "default", "value", "attribute", "write-accessible_NEG"], ["note", "attribute''s", "name", "constructor", "remain", "camel", "case", "basetemplate", "though", "getter", "attribute", "still", "snake", "cased", "base_template"], ["say", "want", "destroy", "list", "create", "nicely"], ["previous", "paragraph", "saw", "create", "sharepoint", "list", "object", "sharepoint", "list", "parent_NEG", "object_NEG", "sharepoint", "view", "however", "parent", "list", "want", "create", "view", "list", "create", "would", "specify", "parent", "view"], ["sharepoint-ruby", "collection", "merely", "array", "sharepoint", "object", "wish", "add", "object", "colleciton", "set", "parent", "object", "provide", "collection"], ["sharepoint", "allow_NEG", "user_NEG", "fetch_NEG", "100_NEG", "item_NEG", "per_NEG", "query_NEG", "list", "contain", "item", "may", "fetch", "use", "find_items", "method"], ["inevitably", "request", "fail", "object", "sharepoint", "return", "error", "happen", "also", "map", "sharepoint-ruby", "sharepoint", "spexception", "class", "spexception", "class", "contain", "method", "inspect", "query", "make", "server"]]'
dustymabe;vagrant-sshfs;[["vagrant-sshfs", "toc", "toc-placement"], ["vagrant", "plugin", "add", "sync", "folder", "support", "mount", "folder", "vagrant", "host", "vagrant", "guest", "via", "sshfs", "default", "mode", "execute", "sshfs", "client", "software", "within", "guest", "create", "ssh", "connection", "vagrant", "guest", "back", "vagrant", "host"], ["sftp-server", "usually", "provide", "ssh", "server", "software", "already", "exist", "linux", "mac", "window", "need", "install", "openssh", "via", "cygwin", "get", "sftp-server"], ["also", "recommend", "run", "vagrant", "cygwin", "provide", "terminal", "issue", "shell", "lead", "problem", "mount"], ["inspiration", "plugin", "come", "fabio", "kreusch", "code", "original", "vagrant-sshfs", "vagrant", "plugin", "goal", "plugin", "oppose", "old", "implementation", "implement", "sshfs", "synced", "folder", "plugin", "like", "synced", "folder", "plugins", "nfs", "rsync", "smb", "virtualbox"], ["plugin", "develop", "mainly", "copy", "code", "nfs", "sync", "folder", "plugin", "vagrant", "core", "code", "mold", "fit", "sshfs"], ["modes-of-operation", "mode", "operation"], ["sharing-vagrant-host-directory-to-vagrant-guest", "of-users", "share", "vagrant", "host", "directory", "vagrant", "guest", "user"], ["plugin", "use", "sshfs", "slave", "mount", "see", "link", "mount", "directory", "vagrant", "host", "vagrant", "guest", "use", "sftp-server", "software", "exist", "host", "sshfs", "run", "slave", "mode", "within", "guest", "create", "connection", "use", "exist", "authentication", "ssh", "vagrant", "set"], ["sharing-arbitrary-host-directory-to-vagrant-guest", "of-users", "share", "arbitrary", "host", "directory", "vagrant", "guest", "user"], ["plugin", "allow", "share", "folder", "arbitrary", "host", "vagrant", "guest", "would", "allow", "folder", "mount", "host", "may", "file", "need", "plugin", "run", "sshfs", "command", "guest", "connect", "arbitrary", "host", "must", "ssh", "daemon", "run", "must", "provide", "ssh_host", "option", "vagrantfile", "get", "work", "use", "ssh", "key", "forwarding", "username", "password", "authentication"], ["see", "link", "#options-specific-to-arbitrary-host-mounting", "option", "link", "#appendix-a-using-keys-and-forwarding-ssh-agent", "appendix", "information"], ["sharing-vagrant-guest-directory-to-vagrant-host", "of-users", "share", "vagrant", "guest", "directory", "vagrant", "host", "user"], ["note", "option", "dangerous", "data", "destroy", "upon", "vagrant", "destroy"], ["plugin", "allow", "share", "folder", "vagrant", "guest", "host", "workloads", "lot", "disk", "intensive", "operation", "compilation", "may", "ideal", "file", "live", "guest", "disk", "intensive", "operation", "would", "occur", "discussion", "see", "issue"], ["see", "link", "#options-specific-to-reverse-mounting-guest-host-mount", "option", "information", "enable", "type", "mount"], ["getting-started", "get", "start"], ["order", "use", "synced", "folder", "implementation", "perform", "following", "step"], ["install-plugin", "install", "plugin"], ["order", "install", "plugin", "simply", "run", "following", "command"], ["add-sshfs-synced-folder-in-vagrantfile", "add", "sshfs", "sync", "folder", "vagrantfile"], ["edit", "vagrantfile", "specify", "folder", "mount", "host", "guest"], ["config.vm", "synced_folder", "path", "host", "path", "guest", "type", "sshfs"], ["simply", "vagrant", "folder", "mount", "guest", "option", "add", "see", "link", "#options", "option", "section"], ["executing-the-vagrant-sshfs-command", "execute", "vagrant", "sshfs", "command"], ["vagrant", "sshfs", "plugin", "also", "support", "execution", "vagrant", "sshfs", "command", "command", "line", "execute", "command", "mount", "option", "iterate", "vagrant", "file", "attempt", "mount", "via", "sshfs", "folder", "already_NEG", "mount_NEG", "vagrant_NEG", "guest_NEG", "execute", "unmount", "option", "unmount", "mounted", "folder"], ["vagrant", "sshfs", "mount", "unmount", "vm-name"], ["sshfs", "sync", "folder", "plugin", "support", "option", "provide", "vagrantfile", "following", "section", "describe", "option", "detail"], ["generic-options", "generic", "option"], ["sshfs", "sync", "folder", "plugin", "support", "option", "provide", "vagrantfile", "describe"], ["example", "snippet", "vagrantfile"], ["config.vm", "synced_folder", "path", "host", "path", "guest", "ssh_opts_append", "compression", "yes", "compressionlevel", "sshfs_opts_append", "auto_cache", "cache_timeout", "disable", "false", "type", "sshfs"], ["options-specific-to-arbitrary-host-mounting", "option", "specific", "arbitrary", "host", "mounting"], ["following", "option", "use", "link", "#sharing-arbitrary-host-directory-to-vagrant-guest---1-of-users", "share", "arbitrary", "host", "directory", "guest", "ignore", "otherwise"], ["example", "snippet", "vagrantfile"], ["config.vm", "synced_folder", "path", "host", "path", "guest", "ssh_host", "somehost.com", "ssh_username", "fedora", "ssh_opts_append", "compression", "yes", "compressionlevel", "sshfs_opts_append", "auto_cache", "cache_timeout", "disable", "false", "type", "sshfs"], ["options-specific-to-reverse-mounting-guest-host-mount", "option", "specific", "reverse", "mounting", "guest", "host", "mount"], ["host", "sshfs", "software", "instal", "follow", "option", "enable", "mount", "folder", "vagrant", "guest", "vagrant", "host"], ["example", "snippet", "vagrantfile", "want", "mount", "data", "guest", "guest", "data", "host"], ["config.vm", "synced_folder", "guest", "data", "data", "type", "sshfs", "reverse", "true"], ["answer", "frequently", "ask", "question"], ["why-do-new-files-take-time-to-appear-inside-the-guest", "new", "file", "take", "time", "appear", "inside", "guest"], ["sometimes", "take", "time", "file", "appear", "end", "sshfs", "mount", "example", "would", "create", "file", "host", "system", "show_NEG", "inside_NEG", "guest_NEG", "mount_NEG", "10_NEG", "20_NEG", "second_NEG", "cache", "sshfs", "improve", "performance", "performance", "v", "accuracy", "always", "go", "trade-off", "would", "like", "disable", "cache", "completely", "disable", "cache", "completely", "append", "cache", "sshfs_NEG", "option_NEG", "sync_NEG", "folder_NEG", "definition_NEG", "vagrantfile_NEG", "like_NEG"], ["config.vm", "synced_folder", "path", "host", "path", "guest", "type", "sshfs", "sshfs_opts_append", "cache"], ["caching", "option", "available", "sshfs", "add", "modify", "manner"], ["appendix-a-using-keys-and-forwarding-ssh-agent", "appendix", "use", "key", "forward", "ssh", "agent"], ["link", "#sharing-arbitrary-host-directory-to-vagrant-guest---1-of-users", "share", "arbitrary", "host", "directory", "may", "want", "completely", "non-interactive", "experience", "either", "hard", "code", "password", "vagrantfile", "use", "ssh", "key", "guide", "set", "ssh", "key", "key", "forwarding", "github"], ["idea", "key", "key", "authorize", "log", "vagrant", "host", "meaning", "entry", "key", "ssh", "authorized_keys", "file", "able", "follow", "non-interactive", "experience", "ssh", "key", "agent", "forwarding"], ["modify", "vagrantfile", "forward", "ssh", "agent"], ["config.ssh", "forward_agent", "true"], ["set", "agent", "add", "key", "agent"], ["finally", "bring", "vagrant", "guest"], ["appendix-b-development", "appendix", "b", "development"], ["local", "development", "plugin", "example", "build", "test", "install", "plugin", "local", "machine"], ["gem", "install", "bundler", "bundle", "install"], ["bundle", "exec", "rake", "build"], ["bundle", "exec", "vagrant"], ["vagrant", "plugin", "install"]]
dwilkie;carrierwave;[["carrierwave", "great", "way", "upload", "file", "ruby", "application", "since", "processing", "saving", "in-process", "scale_NEG", "well_NEG", "good", "way", "upload", "file", "directly", "handle", "processing", "saving", "background", "process"], ["carrierwavedirect", "work", "top", "carrierwave", "provide", "simple", "way", "achieve"]]
dyet92k;dockly;[["dockly", "gem", "make", "ease", "pain", "package", "application", "gem", "useful", "want", "use", "docker", "process", "isolation"], ["although", "specific", "type", "repository", "may", "use", "assumption", "allow", "u", "define", "simple", "dsl", "describe", "repository"]]
eagleas;webmoney;[["library", "help", "make", "request", "webmoney", "transfer", "xml-interfaces"], ["gem", "built-in", "native", "wmsigner"], ["compatible", "ruby", "reqirements", "nokogiri", "build", "libxml", "important"], ["author", "alexander", "oryol", "mailto", "eagle.alex@gmail.com", "license", "mit", "license"], ["incompleted", "help", "need"], ["please", "see", "relative", "documentation", "parameter", "wiki"]]
EasyPost;easypost-ruby;[["easypost", "simple", "shipping", "solution", "sign", "account"]]
eddiezane;sendgrid-actionmailer;'[["actionmailer", "adapter", "send", "email", "use", "sendgrid''s", "http", "web", "api", "instead", "smtp", "compatible", "rail", "sendgrid", "api", "v3"]]'
eitoball;net-ping;[["collection", "class", "provide", "different", "way", "ping", "computer"]]
ekyfauzi;numbers;[["haml-lint", "tool", "help", "keep", "haml", "file", "clean", "readable", "addition", "haml-specific", "style", "lint", "check", "integrate", "rubocop", "bring", "powerful", "static", "analysis", "tool", "haml", "document"], ["run", "haml-lint", "manually", "command", "line", "integrate", "scm", "hook"]]
elixir-editors;vim-elixir;[["elixir", "support", "vim"]]
emilianodellacasa;ruby-asterisk;[["gem", "add", "support", "ruby", "rubyonrails", "project", "asterisk", "manager", "interface"], ["project", "name", "appear", "discontinue", "decide", "start", "new", "project"]]
emrekutlu;paperclip-compression;[["jpeg", "png", "compression", "processor", "paperclip", "hood", "jpegtran", "optipng", "library", "use"]]
enkessler;childprocess;[["gem", "aim", "simple", "reliable", "solution", "control", "external", "program", "run", "background", "ruby", "os", "combination"], ["code", "originate", "selenium-webdriver", "gem", "prove", "useful", "standalone", "library"], ["window", "user", "must", "ensure", "ffi", "gem", "instal", "order", "use", "childprocess"], ["object", "return", "childprocess.build", "implement", "childprocess", "abstractprocess"], ["note", "want", "get", "output", "command", "backtick", "method", "kernel", "may", "good", "fit"], ["parent", "process", "use", "lot", "memory", "fork", "exec", "expensive", "posix_spawn", "api", "remove", "overhead"], ["able", "use", "please", "make", "sure", "ffi", "gem", "instal"], ["default", "child", "process", "create_NEG", "new_NEG", "process_NEG", "group_NEG", "mean", "guarantee_NEG", "entire_NEG", "process_NEG", "tree_NEG", "die_NEG", "child_NEG", "process_NEG", "kill_NEG", "solve"], ["oppose", "kernel", "#system", "kernel", "#exec", "et", "al", "childprocess", "automatically_NEG", "execute_NEG", "command_NEG", "like_NEG", "bin_NEG", "sh_NEG", "cmd.exe_NEG", "depend_NEG", "argument_NEG", "mean", "try", "execute", "e", "g", "gem", "executables", "like", "bundle", "gem", "windows", "executables", "com", "bat", "extension", "may", "see", "childprocess", "launcherror", "work", "around", "explicit", "interpreter", "invoke"], ["error", "debug", "information", "log", "stderr", "default", "custom", "logger", "use", "instead"]]
envato;ami-spec;[["acceptance", "test", "amis"], ["amispec", "rubygem", "use", "launch", "amazon", "machine", "image", "ami", "run", "serverspecs", "wrap", "around", "aws", "api", "serverspec", "spin", "test", "tear", "instance"]]
envato;double;[["keep", "track", "monies"], ["doubleentry", "accounting", "system", "base", "principle", "double-entry", "bookkeeping", "system", "gem", "act", "like", "double-entry", "bookkeeping", "system", "create", "two", "entry", "database", "transfer", "enforce_NEG", "accounting_NEG", "rule_NEG"], ["doubleentry", "use", "money", "gem", "encapsulate", "operation", "currency", "value"]]
envato;event;[["framework", "build", "event", "source", "cqrs", "application"]]
envato;pagerduty;[["provide", "lightweight", "ruby", "interface", "call", "pagerduty", "event", "api"]]
envato;rack-ecg;[["rack", "middleware", "ruby", "web", "apps", "provide", "simple", "extensible", "health", "check", "endpoint", "minimal", "configuration"]]
equivalent;mandrill-api-ruby;[["thanks", "fix", "json", "dependency"]]
erikh;ruby-dbi;'[["repository", "provide", "recommended", "rubocop", "configuration", "additional", "cop", "use", "github", "open", "source", "internal", "ruby", "project", "home", "github''s", "ruby", "style", "guide"]]'
eval;envied;[["rationale", "behind", "project", "see", "blogpost"]]
evilmartians;chef-prometheus-exporters;[["cookbook", "install", "configure", "various", "prometheus", "exporter", "system", "monitor", "prometheus"], ["currently", "support", "exporter", "node", "postgres", "redis", "mysqld", "haproxy", "process", "apache", "blackbox", "snmp", "statsd", "wmi", "may", "add", "future", "please", "contact", "author", "specific", "request"], ["exporter", "available", "chef", "custom", "resource", "instantiate", "cookbook"], ["probably", "rhel", "debian", "base", "distribution"], ["test", "make", "use", "last", "available", "chef", "along", "late", "chef"]]
exAspArk;batch-loader;[["gem", "provide", "generic", "lazy", "batch", "mechanism", "avoid", "n", "db", "query", "http", "query", "etc"], ["developer", "company", "use", "batchloader"]]
express42;zabbixapi;[["simple", "lightweight", "ruby", "module", "work", "zabbix", "via", "zabbix", "api"]]
fantasticfears;ffi-icu;'[["simple", "ffi", "wrapper", "icu", "checkout", "renovated", "icu", "gem", "instead", "support", "various", "encode", "distribute", "package", "source", "ffi-icu", "need", "love", "icu", "gem''s", "transcoding", "method"]]'
fastlane-community;trainer;[["alternative", "approach", "generate", "junit", "file", "ci", "e", "g", "jenkins", "without", "parse", "xcodebuild", "output", "use", "xcode", "plist", "xcresult", "file", "instead"], ["xcode", "version", "know", "issue", "around", "properly_NEG", "close_NEG", "stdout_NEG", "radar_NEG", "cannot_NEG", "use_NEG", "xcpretty_NEG"], ["trainer", "robust", "faster", "approach", "generate", "junit", "report", "ci", "system"], ["xcpretty", "trainer", "prettify", "xcodebuild", "output", "white_check_mark", "no_entry_sign", "generate", "junit", "report", "white_check_mark", "white_check_mark", "generate", "html", "report", "white_check_mark", "no_entry_sign", "work", "xcodebuild", "output", "format", "change", "no_entry_sign", "white_check_mark", "show", "test", "execution", "duration", "white_check_mark", "white_check_mark", "speed", "car", "rocket"], ["xcpretty", "great", "piece", "software", "use", "across", "fastlane", "tool", "trainer", "build", "minimum", "code", "generate", "junit", "report", "ci", "system"], ["information", "trainer", "useful", "find", "blog"]]
fastlane;fastlane-plugin-firebase;[["firebase", "app", "distribution", "make", "distribute", "apps", "trust", "tester", "painless", "get", "apps", "onto", "tester", "device", "quickly", "get", "feedback", "early", "often", "learn", "firebase", "app", "distribution", "go"]]
fastlane;fastlane-plugin-firebase;[["project", "fastlane", "plugin", "add", "fastlane", "project", "run"]]
fastly;fastly-ruby;'[["client", "library", "interact", "fastly", "web", "acceleration", "service", "api"], ["authenticate", "username", "password", "deprecate", "longer_NEG", "available_NEG", "start_NEG", "september_NEG", "2020_NEG"], ["authenticate", "api", "token", "show", "example", "section", "information", "api", "token", "please", "see", "fastly''s", "api", "token", "documentation", "information", "authenticate", "api", "please", "see", "authentication", "section"]]'
Fatsoma;busser;[["busser", "test", "setup", "execution", "framework", "design", "work", "remote", "node", "whose", "system", "dependencies", "cannot", "rely", "upon", "except", "omnibus", "installation", "chef", "use", "plugin", "architecture", "add", "support", "different", "test", "strategy", "minitest", "cucumber", "bash", "etc"]]
fbernier;tomlrb;[["racc", "base", "toml", "ruby", "parser", "support", "version", "spec"]]
fedora-ruby;gem2rpm;[["gem", "2rpm", "convert", "rubygems", "package", "rpm", "spec", "file"]]
flavorjones;mini;[["document", "version", "require", "file", "rename", "mini_portile", "mini_portile", "version", "x", "previous", "please", "visit", "v0", "x", "branch"], ["project", "minimalistic", "implementation", "port", "recipe", "system", "developer"], ["work", "machine", "unacceptable", "library", "maintainer"]]
flexport;quarantine;[["quarantine", "automatically", "detect", "flaky", "test", "e", "fail", "non-deterministically", "disable", "proven", "reliable"], ["quarantine", "current", "support", "following", "testing", "framework", "need", "additional", "one", "please", "file", "issue", "open", "pull", "request", "rspec"], ["quarantine", "provide", "necessary", "hook", "compatibility", "ci", "solution", "insufficient", "please", "file", "issue", "open", "pull", "request"]]
floraison;fugit;[["time", "tool", "flor", "floraison", "group"], ["use", "et-orbi", "represent", "time", "instance", "raabro", "basis", "parser"], ["fugit", "core", "dependency", "rufus-scheduler"]]
fluent-plugins-nursery;fluent-plugin-out-http;[["generic", "fluentd", "output", "plugin", "send", "log", "http", "endpoint"], ["note", "plugin", "name", "overlap", "fluentd", "core", "plugin", "name", "out_http", "core", "plugin", "provide_NEG", "buffer_NEG", "non-buffered_NEG", "switch_NEG", "batch_NEG", "non-batch_NEG", "request_NEG", "switch_NEG", "want", "use", "switch", "feature", "please", "consider", "use", "plugin"]]
fluent;fluent-logger-ruby;[["structured", "event", "logger"]]
fluent;fluent-plugin-kafka;[["fluentd", "plugin", "consume", "produce", "data", "apache", "kafka"]]
fluent;fluent-plugin-webhdfs;[["fluentd", "output", "plugin", "write", "data", "hadoop", "hdfs", "webhdfs", "httpfs"], ["webhdfs", "output", "plugin", "format", "data", "plain", "text", "store", "file", "hdfs", "plugin", "support"], ["path", "hdfs", "generate", "event", "timestamp", "tag", "field", "record"]]
flyerhzm;switch;[["inspire", "hobo", "switch_user", "provide", "convenient", "way", "switch", "current", "user", "without", "need", "log", "log", "manually"]]
